index,year,package,className,direction
284,2007,base.trunk.src.org.hsqldb.types,OtherType,From
285,2007,base.trunk.src.org.hsqldb.types,OtherType,To
286,2007,base.trunk.test.org.hsqldb.jdbc,jdbcClobTest,From
287,2007,base.trunk.test.org.hsqldb.jdbc,jdbcClobTest,To
288,2007,base.trunk.src.org.hsqldb.index,DiskNode,From
289,2007,base.trunk.src.org.hsqldb.index,DiskNode,To
290,2007,base.trunk.src.org.hsqldb.types,NullType,From
291,2007,base.trunk.src.org.hsqldb.types,NullType,To
292,2007,base.trunk.src.org.hsqldb.index,MemoryNode,From
293,2007,base.trunk.src.org.hsqldb.index,MemoryNode,To
294,2007,base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,From
295,2007,base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,To
296,2007,base.trunk.src.org.hsqldb.test,JDBCBench,From
297,2007,base.trunk.src.org.hsqldb.test,JDBCBench,To
298,2007,base.trunk.src.org.hsqldb.lib,Sort,From
299,2007,base.trunk.src.org.hsqldb.lib,Sort,To
300,2007,base.trunk.test.org.hsqldb.jdbc,jdbcRowIdTest,From
301,2007,base.trunk.test.org.hsqldb.jdbc,jdbcRowIdTest,To
302,2007,base.trunk.test.org.hsqldb.jdbc,JdbcSuite,From
303,2007,base.trunk.test.org.hsqldb.jdbc,JdbcSuite,To
304,2007,base.trunk.test.org.hsqldb.jdbc,jdbcDatabaseMetaDataTest,From
305,2007,base.trunk.test.org.hsqldb.jdbc,jdbcDatabaseMetaDataTest,To
306,2007,base.trunk.src.org.hsqldb.test,TestSql,From
307,2007,base.trunk.src.org.hsqldb.test,TestSql,To
308,2007,base.trunk.src.org.hsqldb.persist,ScaledRAFileInJar,From
309,2007,base.trunk.src.org.hsqldb.persist,ScaledRAFileInJar,To
310,2007,base.trunk.src.org.hsqldb,Row,From
311,2007,base.trunk.src.org.hsqldb,Row,To
312,2007,base.trunk.src.org.hsqldb,View,From
313,2007,base.trunk.src.org.hsqldb,View,To
314,2007,base.trunk.src.org.hsqldb.util,ZaurusTableForm,From
315,2007,base.trunk.src.org.hsqldb.util,ZaurusTableForm,To
316,2007,base.trunk.src.org.hsqldb.server,Server,From
317,2007,base.trunk.src.org.hsqldb.server,Server,To
318,2007,base.trunk.src.org.hsqldb.jdbc,jdbcSQLXML,From
319,2007,base.trunk.src.org.hsqldb.jdbc,jdbcSQLXML,To
320,2007,base.trunk.src.org.hsqldb.lib,HsqlArrayHeap,From
321,2007,base.trunk.src.org.hsqldb.lib,HsqlArrayHeap,To
322,2007,base.trunk.src.org.hsqldb.persist,TempDataFileCache,From
