versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2008,base.trunk.test.org.hsqldb.jdbc,jdbcPreparedStatementTest,644,12,117,23
2007,base.trunk.src.org.hsqldb.rowio,RowInputTextLog,264,17,101,11
2007,base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,123,20,221,22
2007,base.trunk.src.org.hsqldb.lib,SimpleLog,87,2,16,8
2008,base.trunk.src.org.hsqldb.types,CharacterType,572,37,262,19
2008,base.trunk.src.org.hsqldb.util,PostgresTransferHelper,95,5,50,21
2008,base.trunk.src.org.hsqldb.navigator,ClientRowSetNavigator,110,1,12,12
2007,base.trunk.test.org.hsqldb.jdbc,jdbcCallableStatementTest,945,23,145,10
2007,base.trunk.src.org.hsqldb.navigator,LinkedListRowSetNavigator,81,1,7,7
2008,base.trunk.src.org.hsqldb.store,BitMap,147,4,20,5
2008,base.trunk.src.org.hsqldb.lib,WrapperIterator,92,1,9,9
2008,base.trunk.src.org.hsqldb.rowio,RowOutputText,234,5,37,11
2007,base.trunk.src.org.hsqldb.util,ZaurusConnectionDialog,166,3,20,8
2007,base.trunk.src.org.hsqldb,BaseParser,221,4,20,5
2008,base.trunk.test.org.hsqldb.jdbc,jdbcConnectionPrepareCallTest,121,10,118,28
2008,base.trunk.src.org.hsqldb,DatabaseManager,231,10,84,11
2007,base.trunk.src.org.hsqldb.jdbc.pool,JDBCConnectionPoolDataSource,139,1,13,13
2008,base.trunk.src.org.hsqldb.sample,TriggerSample,294,5,31,8
2007,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,118,5,29,6
2007,base.trunk.src.org.hsqldb.jdbc,jdbcStatement,309,12,150,21
2008,base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,123,20,221,22
2008,base.trunk.src.org.hsqldb.types,NumberType,1020,52,313,11
2008,base.trunk.src.org.hsqldb,Library,1069,5,48,24
2008,base.trunk.src.org.hsqldb,GroupedResult,130,1,9,9
2007,base.trunk.src.org.hsqldb.util,ZaurusTextField,39,2,12,7
2007,base.trunk.src.org.hsqldb.types,ClobDataMemory,121,3,17,6
2007,base.trunk.src.org.hsqldb.persist,TextCache,502,3,19,7
2008,base.trunk.src.org.hsqldb,Select,910,4,28,9
2007,base.trunk.src.org.hsqldb.util,ConnectionDialogSwing,252,3,23,11
2008,base.trunk.src.org.hsqldb.util.preprocessor,BasicResolver,33,1,6,6
2008,base.trunk.src.org.hsqldb.jdbc.pool,ManagedPoolDataSource,517,4,26,8
2008,base.trunk.src.org.hsqldb.persist,LockFile,628,9,57,11
2008,base.trunk.src.org.hsqldb.util,ConnectionDialog,225,7,48,11
2007,base.trunk.src.org.hsqldb.types,Type,428,3,28,12
2008,base.trunk.src.org.hsqldb.types,BlobData,29,1,6,6
